,수업년도,수업학기,수업번호,학년,신청순서비,신청순서비_순위,도달시간,도달시간_순위,기준시간내신청,기준시간내신청_순위,희망비,희망비_순위
0,2021,20,10135,1,0.125,4964,정정이후,5753,0,2981,0.275,6094
1,2021,20,10147,1,0.04,5671,정정이후,5753,0,2981,0.4,5909
2,2021,20,10172,1,0.02,6030,47.736초,1837,1,2589,1.06,3577
3,2021,20,10209,1,0.016666666666666666,6105,13.806초,518,2,2159,1.5666666666666667,1756
4,2021,20,10352,1,0.02,6030,정정이후,5753,0,2981,0.24,6124
5,2021,20,10357,1,0.4,4250,정정이후,5753,1,1712,0.35,5984
6,2021,20,10482,1,0.025,5888,23시간 15분 2.997초,4483,1,2372,1.475,2062
7,2021,20,10510,1,3.125,2321,정정이후,5753,0,2981,1.2,2901
8,2021,20,10513,1,5.171428571428572,1697,1분 14.232초,3992,0,2981,0.9,4226
9,2021,20,10515,1,14.022222222222224,490,39.010초,1496,0,2981,1.4444444444444444,2135
10,2021,20,10517,1,5.983333333333333,1517,9분 28.310초,3966,1,2740,1.1333333333333333,3240
11,2021,20,10544,1,2.04,2848,59.982초,2290,2,1267,1.36,2387
12,2021,20,10552,1,10.333333333333334,802,6분 24.478초,3851,0,2981,1.9166666666666667,1063
13,2021,20,10554,1,12.155172413793105,607,9분 0.715초,3950,0,2981,0.8448275862068966,4496
14,2021,20,10557,1,1.7818181818181815,3020,3시간 12분 28.022초,4388,0,2981,0.8363636363636363,4530
15,2021,20,10559,1,5.46,1615,9분 11.981초,3957,0,2981,1.12,3326
16,2021,20,10568,1,6.70909090909091,1379,5분 47.024초,3827,1,2658,0.5272727272727272,5632
17,2021,20,10572,1,5.3500000000000005,1650,1분 31.315초,3128,0,2981,0.775,4748
18,2021,20,10582,1,4.05,1993,1분 37.632초,3222,0,2981,0.925,4148
19,2021,20,10589,1,7.818181818181818,1182,42분 27.839초,4274,0,2981,0.6,5367
20,2021,20,10592,1,18.450000000000003,327,36.795초,1383,3,1390,1.2,2901
21,2021,20,10595,1,5.138888888888889,1706,1분 12.845초,2717,1,2317,0.8888888888888888,4326
22,2021,20,10601,1,2.4444444444444446,2623,1분 20.884초,2912,1,2558,0.6888888888888889,5103
23,2021,20,10611,1,11.352941176470589,699,1분 20.040초,2891,2,1952,1.588235294117647,1707
24,2021,20,10618,1,6.66,1390,5분 12.360초,3810,1,2589,1.04,3692
25,2021,20,10619,1,15.854545454545455,406,32.601초,1246,1,2658,1.3818181818181818,2302
26,2021,20,10620,1,9.98,862,40.723초,1562,4,1267,1.46,2100
27,2021,20,10621,1,47.5,7,3.366초,83,38,16,2.725,352
28,2021,20,10678,1,6.978260869565216,1324,1분 14.851초,2759,1,2558,1.326086956521739,2516
29,2021,20,10679,1,4.888888888888888,1763,1분 11.960초,2693,1,2558,1.3555555555555556,2418
30,2021,20,10680,1,3.5111111111111115,2177,1분 37.762초,3227,2,1928,0.8666666666666667,4378
31,2021,20,10721,1,11.836363636363638,635,1분 7.898초,2561,6,1044,0.9090909090909091,4216
32,2021,20,10723,1,28.37777777777778,131,22.028초,822,12,305,1.1111111111111112,3359
33,2021,20,10725,1,5.7666666666666675,1558,1분 12.165초,2695,0,2981,0.75,4816
34,2021,20,10726,1,6.140000000000001,1484,49.084초,1893,1,2589,0.94,4101
35,2021,20,10731,1,2.3962264150943398,2654,1분 17.617초,2833,0,2981,1.0566037735849056,3605
36,2021,20,10739,1,7.854545454545454,1178,1분 20.803초,2908,0,2981,0.8545454545454545,4426
37,2021,20,10743,1,5.290909090909091,1667,2분 24.275초,3526,0,2981,0.6363636363636364,5285
38,2021,20,10744,1,4.2,1944,1분 58.342초,3393,0,2981,0.6888888888888889,5103
39,2021,20,10760,1,3.5689655172413794,2154,6일 5시간  55.077초,5707,1,2718,0.5172413793103449,5667
40,2021,20,10767,1,1.8,3001,1분 42.654초,3287,1,2372,0.6,5367
41,2021,20,10783,1,4.636363636363637,1826,1분 16.782초,2794,0,2981,0.9272727272727272,4139
42,2021,20,10784,1,34.175000000000004,65,10.346초,368,31,47,1.85,1162
43,2021,20,10791,1,9.639999999999999,900,54.421초,2106,1,2589,1.34,2462
44,2021,20,10817,1,4.0344827586206895,1998,1분 27.130초,3034,1,2718,0.9827586206896551,3939
45,2021,20,10819,1,20.16666666666667,270,29.056초,1114,9,515,1.7857142857142858,1267
46,2021,20,10826,1,5.614285714285714,1587,1분 30.681초,3111,1,2817,1.1142857142857143,3347
47,2021,20,10830,1,22.764705882352942,211,33.220초,1263,2,929,2.0588235294117645,863
48,2021,20,10856,1,20.55,263,28.321초,1083,0,2981,1.675,1501
49,2021,20,10857,1,2.4,2649,22분 35.260초,4175,0,2981,1.175,3042
50,2021,20,10858,1,1.2750000000000001,3378,6일 5시간  22.375초,5686,0,2981,0.7,5028
51,2021,20,10859,1,3.5,2180,8분 26.767초,3929,1,2372,0.9,4226
52,2021,20,10860,1,43.55,19,10.665초,378,27,73,1.95,1018
53,2021,20,10861,1,25.975,160,22.502초,836,10,313,1.725,1392
54,2021,20,10896,1,15.133333333333333,438,42.011초,1614,3,1511,1.5777777777777777,1733
55,2021,20,10897,1,6.177777777777778,1476,1분 2.722초,2392,0,2981,1.3777777777777778,2307
56,2021,20,10904,1,11.824999999999998,637,45.716초,1758,2,1712,1.65,1587
