,수업년도,수업학기,수업번호,정원,수강,1,2,3,4,5,6,전체취소,정정취소,희망수업등록,증원인원,재수강인원
0,2022,10,15391,300,297,295,0,1,3,0,31,33,3,1058,0,10
1,2022,10,15401,450,446,217,105,46,20,21,92,55,3,771,0,4
2,2022,10,15140,0,895,162,73,93,115,148,895,591,8,0,0,
3,2022,10,15455,150,149,141,4,3,0,0,14,13,1,752,0,
4,2022,10,15449,150,148,139,10,0,1,0,9,11,1,542,0,2
5,2022,10,15345,150,199,134,13,0,1,2,51,2,1,534,50,1
6,2022,10,15338,150,197,134,12,0,4,4,57,14,3,711,50,4
7,2022,10,15342,150,197,128,16,3,2,3,51,6,3,558,50,2
8,2022,10,15400,450,442,125,89,55,59,51,226,163,8,637,0,7
9,2022,10,15397,195,195,121,61,10,5,3,49,54,3,474,5,8
10,2022,10,15339,150,198,115,24,8,1,4,59,13,2,726,50,1
11,2022,10,15340,150,197,107,32,7,1,6,63,19,3,635,50,1
12,2022,10,15343,150,199,105,34,8,2,3,51,4,0,525,50,3
13,2022,10,15344,150,198,101,35,13,1,2,56,10,2,567,50,3
14,2022,10,15272,100,125,96,5,0,0,0,50,26,5,444,30,1
15,2022,10,15456,100,98,95,3,0,0,2,6,8,2,767,0,3
16,2022,10,15458,100,99,92,5,1,1,0,12,12,1,485,0,3
17,2022,10,15193,100,98,91,7,1,0,1,8,10,2,530,0,
18,2022,10,15300,150,150,89,49,10,0,3,10,11,0,353,0,
19,2022,10,15450,120,120,89,20,3,3,3,9,7,0,400,0,3
20,2022,10,15341,150,196,88,50,10,2,2,54,10,3,550,50,3
21,2022,10,15414,5000,1050,85,146,243,382,349,711,866,46,1198,0,25
22,2022,10,10449,84,84,72,7,3,1,4,18,21,0,155,0,
23,2022,10,15298,100,100,71,14,11,7,2,19,24,0,245,0,1
24,2022,10,15360,30,87,70,11,0,1,2,11,8,2,219,0,
25,2022,10,15413,5000,3087,66,149,214,307,438,2361,448,30,2964,0,306
26,2022,10,15281,200,196,66,48,26,27,17,62,50,4,386,0,7
27,2022,10,15186,70,69,65,4,0,1,0,6,7,1,325,0,2
28,2022,10,15149,100,98,64,23,7,4,3,30,33,2,287,0,5
29,2022,10,15399,150,147,63,54,21,4,5,41,41,3,330,0,4
30,2022,10,15463,100,100,63,17,13,5,4,10,12,0,477,0,5
31,2022,10,15460,100,99,63,14,10,12,4,10,14,1,286,0,
32,2022,10,11649,65,65,60,4,0,1,0,4,4,0,207,0,
33,2022,10,15453,100,99,58,31,8,2,1,11,12,1,455,0,
34,2022,10,11634,60,65,57,0,1,1,1,21,16,3,146,8,
35,2022,10,10371,60,72,55,2,1,1,3,49,39,1,130,14,2
36,2022,10,15114,100,107,54,26,9,8,6,46,42,3,364,10,1
37,2022,10,15357,30,81,52,10,4,2,3,32,22,9,216,0,1
38,2022,10,12021,200,209,50,25,21,31,24,76,18,1,261,20,
39,2022,10,13516,66,64,50,0,1,0,0,19,6,2,135,0,2
40,2022,10,15197,50,49,50,0,0,0,1,3,5,1,438,0,1
41,2022,10,15138,60,65,49,7,0,3,0,12,6,0,389,5,
42,2022,10,13199,65,80,48,12,4,1,2,32,19,4,190,19,
43,2022,10,15113,100,94,46,30,11,7,3,22,25,5,240,0,4
44,2022,10,15461,70,70,46,13,7,2,2,2,2,0,198,0,1
45,2022,10,15123,60,59,45,13,1,1,0,10,11,1,216,0,2
46,2022,10,13185,55,52,44,8,3,0,0,5,8,3,154,0,
47,2022,10,15334,150,183,43,30,19,20,17,139,85,17,273,50,10
48,2022,10,13203,60,60,43,13,1,0,3,18,18,0,118,2,
49,2022,10,10567,53,48,43,1,1,1,0,9,7,2,102,0,
50,2022,10,11639,55,51,42,6,3,0,1,25,26,5,114,1,2
51,2022,10,10652,50,49,42,1,1,1,0,12,8,1,91,0,1
52,2022,10,12379,55,55,42,0,1,1,1,11,1,0,125,0,
53,2022,10,15451,150,150,40,22,29,26,16,42,25,0,307,0,9
54,2022,10,10861,50,49,40,6,3,0,1,7,8,0,97,0,
55,2022,10,12331,52,46,40,3,0,0,0,7,4,1,25,0,
56,2022,10,15264,40,39,40,0,0,0,1,2,4,0,303,0,
57,2022,10,15448,150,148,39,31,28,20,13,43,26,1,320,0,2
58,2022,10,15268,40,40,38,2,1,0,0,7,8,0,331,0,
59,2022,10,15382,40,40,38,1,1,0,0,0,0,0,377,0,
60,2022,10,15262,90,86,37,34,9,7,5,21,27,3,240,0,3
61,2022,10,15124,60,58,37,14,4,3,1,14,15,2,192,0,1
62,2022,10,11155,50,57,37,7,1,4,2,26,20,2,112,10,
63,2022,10,15176,45,45,36,8,0,0,2,8,9,0,157,0,
64,2022,10,11067,40,49,35,3,0,1,1,13,4,2,98,11,1
65,2022,10,15277,200,194,34,29,37,27,28,124,85,6,223,0,9
66,2022,10,11813,65,65,34,23,5,0,0,5,2,0,130,0,
67,2022,10,12670,40,40,34,6,0,0,0,1,1,0,73,0,
68,2022,10,12358,42,40,34,1,0,0,0,7,3,1,111,0,1
69,2022,10,15279,200,189,33,34,21,23,27,175,124,10,328,0,2
70,2022,10,15282,90,156,33,18,15,13,6,134,63,2,237,90,2
71,2022,10,13504,54,53,33,7,2,0,0,14,3,1,123,0,
72,2022,10,15383,40,39,33,6,1,1,0,12,14,1,162,0,1
73,2022,10,11060,20,41,33,0,0,0,1,11,4,1,95,2,1
74,2022,10,15335,150,183,32,20,29,19,23,182,122,14,250,50,7
75,2022,10,11063,35,44,32,3,0,0,0,9,0,0,86,9,2
76,2022,10,11843,65,81,31,27,4,2,2,26,11,0,140,16,2
77,2022,10,11854,80,77,31,24,19,4,1,4,6,1,145,0,
78,2022,10,15396,50,48,31,16,3,0,0,8,10,0,154,0,3
79,2022,10,15190,50,46,31,9,4,3,0,13,14,4,132,0,4
80,2022,10,10376,60,58,31,5,3,5,7,36,29,3,130,2,3
